trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9753099120283326}",20,0,-125.98224193538434,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.951229424500714}",25,0,-102.2724156605903,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.1, 'e': 0.9277434863285529}",35,0,-255.7669399334736,"{0: 20, 1: 3, 2: 6, 3: 2, 4: 4}",0
4,False,"{'a': 0.1, 'e': 0.9048374180359595}",30,0,-111.20672910454519,"{0: 17, 1: 7, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.8824969025845955}",30,7,-90.98843012164065,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 1}",1
6,False,"{'a': 0.1, 'e': 0.8607079764250578}",20,0,-72.0768162809637,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.8394570207692074}",25,0,-56.849866219575176,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.8187307530779818}",35,0,-114.76382666892394,"{0: 24, 1: 3, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.7985162187593771}",25,0,-68.48047170003198,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.7788007830714049}",25,18,6.791726283074598,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.1, 'e': 0.7595721232249685}",25,3,-37.37478158546449,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.7408182206817179}",30,12,-87.29238504931726,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 2}",1
13,False,"{'a': 0.1, 'e': 0.7225273536420722}",20,0,-104.96794801923821,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.7046880897187134}",20,0,-106.6510142752448,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.6872892787909722}",20,5,3.274064218439164,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.6703200460356393}",20,0,-71.69921397306045,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.6537697851298473}",30,6,-6.355945380847783,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.1, 'e': 0.6376281516217733}",20,0,-68.0296675722675,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.62188505646502}",20,0,-88.040062190092,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.6065306597126334}",30,5,-33.62209032886179,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.1, 'e': 0.5915553643668151}",20,0,-51.353717691646956,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.5769498103804866}",20,6,-86.07501601755271,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 1}",1
23,False,"{'a': 0.1, 'e': 0.5627048688069557}",30,0,-115.55678368147318,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.5488116360940264}",20,0,14.106111487298744,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.5352614285189903}",20,0,-10.234323366606663,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.1, 'e': 0.522045776761016}",20,0,-92.6277241467179,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
27,False,"{'a': 0.1, 'e': 0.5091564206075492}",20,6,-49.5768332577287,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
28,False,"{'a': 0.1, 'e': 0.49658530379140947}",30,14,18.042788511889903,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.4843245689553624}",30,6,17.093781678416654,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.4723665527410147}",20,11,13.89763520540233,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.1, 'e': 0.4607037809989658}",20,6,-19.90050420114121,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
32,False,"{'a': 0.1, 'e': 0.44932896411722156}",25,0,-59.29406902520229,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.4382349924649492}",20,9,-34.15444141821108,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.1, 'e': 0.42741493194872665}",20,4,-29.954477496677562,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.1, 'e': 0.4168620196785084}",20,6,-57.13824858558483,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
36,False,"{'a': 0.1, 'e': 0.4065696597405991}",20,14,10.752447531203279,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.1, 'e': 0.39653141907499284}",25,8,3.95461032132392,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.1, 'e': 0.3867410234545012}",20,3,-19.03439984227035,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
39,False,"{'a': 0.1, 'e': 0.3771923535631569}",25,13,-17.106323343209567,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.1, 'e': 0.36787944117144233}",25,12,-14.380831935967269,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.1, 'e': 0.35879646540595156}",30,14,3.179238702573394,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.1, 'e': 0.3499377491111553}",25,15,8.634302060909352,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.3412977553009937}",20,12,-7.340177790527579,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.1, 'e': 0.33287108369807955}",20,13,-11.070630194664421,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.32465246735834974}",20,5,21.819163006435783,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.31663676937905316}",30,21,12.419249272501515,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.30881897968801986}",25,0,26.925027424588237,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.1, 'e': 0.301194211912202}",30,4,-25.44274338992919,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.1, 'e': 0.29375770032353277}",20,8,-25.589467026183094,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.1, 'e': 0.2865047968601901}",20,12,3.956441550588438,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.1, 'e': 0.2794309682214073}",25,14,7.924292810435621,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.1, 'e': 0.2725317930340126}",20,10,-8.19639177428969,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.26580295908892654}",20,5,10.97203326176536,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.1, 'e': 0.2592402606458915}",30,19,21.477306010382236,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.25283959580474646}",30,14,20.03266569880872,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.1, 'e': 0.24659696394160643}",20,12,10.838740792589343,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.24050846320834213}",20,7,-9.88701086134453,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
58,False,"{'a': 0.1, 'e': 0.23457028809379762}",20,13,15.568068842265621,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.22877872704522242}",20,13,13.367242212513425,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
