trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-214.16227994558616,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.99018671170717,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-225.5537974678142,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,3,-41.98160448543547,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.26073730019928,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.1989885493622,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.52724740487594,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.26754020421455,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.45810900948447,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.97515313611969,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.8942869123788,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.6512430818467,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,12,-28.020432915581498,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.82183774804116,"{0: 13, 1: 7, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.89341009339256,"{0: 14, 1: 6, 2: 1, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.59156898212893,"{0: 14, 1: 8, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.15275874127964,"{0: 11, 1: 6, 2: 5, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.300289725076,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,6,-93.16269978129671,"{0: 6, 1: 2, 2: 5, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.866597141153186,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.64098066998267,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.14901784039955,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.08968245419325,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,2,-143.98377964353398,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-182.04634173787136,"{0: 14, 1: 0, 2: 14, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.94023541562012,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-172.75109211598055,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-244.94574472521654,"{0: 8, 1: 5, 2: 7, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-194.1479150510089,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.44915836078877,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
